graph_type,num_vars,algorithm,reference,mae_lb_error,rmse_lb_error,max_lb_error,mae_ub_error,rmse_ub_error,max_ub_error,containment_rate,mean_width_ratio,std_width_ratio,mean_build_time,mean_run_time,mean_total_time,std_total_time,ref_time,avg_induced_width
dag,5,approxlp,ariel,0.07034441,0.15608844,0.63643179,0.06802334,0.15355649,0.57791199,0.64,1.280984,0.533113,1.0338,0.055,1.0888,0.277,0.972,1.6
dag,5,ccte,ariel,0.06993524,0.15763287,0.61971149,0.05931937,0.14105352,0.57791199,0.6,1.251165,0.518004,1.2728,122.35,123.6227,290.9637,0.972,1.6
dag,5,ccte_cm,ariel,0.06766503,0.14593794,0.61971149,0.07744091,0.15544844,0.57791199,0.4,1.17059,0.541487,1.1823,0.0559,1.2383,0.3333,0.972,1.6
dag,5,ccte_cp,ariel,0.10721297,0.18549487,0.61971149,0.1086495,0.18913836,0.57791199,0.4,1.13863,0.572094,1.1627,0.0524,1.2151,0.3515,0.972,1.6
dag,5,ibp,ariel,0.22071845,0.3029788,0.49999994,0.20981107,0.28834179,0.57791199,0.3,0.542024,0.680577,1.058,0.0131,1.0711,0.2761,0.972,1.6
dag,5,ijgp,ariel,0.07298692,0.14673303,0.37568999,0.06594396,0.14768948,0.57791199,0.657143,1.242044,0.398703,0.9423,34.6435,35.5858,71.4945,0.972,1.43
dag,5,ijgp_cm,ariel,0.07318728,0.15435055,0.63643179,0.10004725,0.22044477,0.94642335,0.5,1.292752,0.645509,1.0923,0.7124,1.8047,1.666,0.972,1.6
dag,5,ijgp_cp,ariel,0.08261802,0.16000493,0.63643179,0.08202676,0.17124424,0.59089232,0.46,1.261869,0.597297,1.1182,0.7054,1.8236,1.5938,0.972,1.6
dag,10,approxlp,ariel,0.05464623,0.13025033,0.66502699,0.04209235,0.10725291,0.55966256,0.8,1.351067,1.470944,2.8906,0.5497,3.4403,0.5327,2.9489,2.11
dag,10,ccte_cm,ariel,0.07945177,0.1321233,0.41903699,0.06999642,0.12323759,0.53742874,0.455556,1.135417,0.817257,3.2837,0.2092,3.493,0.6154,2.9489,2.11
dag,10,ccte_cp,ariel,0.10876671,0.16212901,0.41903699,0.10352099,0.16284507,0.49312436,0.455556,1.290383,2.243749,3.2511,0.1954,3.4465,0.5518,2.9489,2.11
dag,10,ibp,ariel,0.21283415,0.29425045,0.5,0.22044187,0.301889,0.49999997,0.322222,0.531231,1.253782,2.9476,0.0333,2.9809,0.5715,2.9489,2.11
