graph_type,num_vars,algorithm,reference,mae_lb_error,std_lb_error,max_lb_error,mae_ub_error,std_ub_error,max_ub_error,containment_rate,mean_width_ratio,std_width_ratio,mean_build_time,mean_run_time,mean_total_time,std_total_time,ref_time,avg_induced_width
dag_fr_tw3,5,approxlp,cjt_l,0.00393381,0.02377794,0.16812614,0.00202385,0.00854612,0.0539117,0.52,0.993586,0.026599,0.1319,0.0632,0.1951,0.0358,0.4237,2.0
dag_fr_tw3,5,ariel,cjt_l,0.00902787,0.02577863,0.11343241,0.01229187,0.05625097,0.38303481,0.64,0.957336,0.20035,0.0,3.377,3.377,5.6244,0.4237,
dag_fr_tw3,5,cjt,cjt_l,1e-08,1e-08,4e-08,1e-08,1e-08,5e-08,1.0,1.0,0.0,0.0054,0.3175,0.3229,0.0645,0.4237,3.0
dag_fr_tw3,5,cve,cjt_l,0.00061945,0.00410727,0.02786399,0.00168095,0.00849985,0.0539117,0.577778,0.997486,0.011647,0.1327,250.5042,250.637,486.5325,0.4237,2.0
dag_fr_tw3,5,cve_cm,cjt_l,0.06188212,0.06968929,0.25737748,0.05776597,0.07980186,0.33326462,0.2,0.862806,0.150119,0.1323,0.0324,0.1647,0.0382,0.4237,2.0
dag_fr_tw3,5,cve_cp,cjt_l,0.18340199,0.17018984,0.51993398,0.18630182,0.16733611,0.51070183,0.24,1.209427,2.791231,0.1332,0.0306,0.1638,0.0336,0.4237,2.0
dag_fr_tw3,5,ibp,cjt_l,0.00214091,0.0074376,0.03445676,0.00199464,0.00827312,0.0539117,0.64,0.999932,0.013683,0.1266,0.0077,0.1343,0.0269,0.4237,2.0
dag_fr_tw3,6,approxlp,cjt_l,0.00309454,0.01681664,0.12824017,0.00367898,0.01629727,0.1057255,0.516667,0.992847,0.025832,0.1376,0.0917,0.2293,0.0446,0.4914,1.9
dag_fr_tw3,6,ariel,cjt_l,0.00083932,0.00469513,0.03506859,0.00118903,0.00670958,0.04669174,0.766667,1.00015,0.011171,0.0,7.9595,7.9595,19.238,0.4914,
dag_fr_tw3,6,cjt,cjt_l,0.0,1e-08,5e-08,0.0,1e-08,5e-08,1.0,1.0,0.0,0.0056,0.3705,0.3761,0.0981,0.4914,2.9
dag_fr_tw3,6,cve,cjt_l,0.00309453,0.01681665,0.12824023,0.0019169,0.00944263,0.06441263,0.5,0.99495,0.02068,0.1545,267.6843,267.8388,500.2268,0.4914,1.9
dag_fr_tw3,6,cve_cm,cjt_l,0.05171689,0.08778878,0.42587967,0.05685099,0.08301613,0.40684998,0.25,0.881093,0.16567,0.1375,0.0384,0.1759,0.0301,0.4914,1.9
dag_fr_tw3,6,cve_cp,cjt_l,0.15011999,0.17116416,0.52553117,0.15037339,0.1535166,0.53832564,0.216667,0.916419,0.971205,0.1383,0.0362,0.1745,0.0303,0.4914,1.9
dag_fr_tw3,6,ibp,cjt_l,0.00329828,0.01682965,0.12824023,0.00196456,0.00923763,0.06441263,0.533333,0.995306,0.020786,0.1277,0.0073,0.1351,0.0232,0.4914,1.9
dag_fr_tw3,7,approxlp,cjt_l,0.00757249,0.02051911,0.08790311,0.00447116,0.01497704,0.08992245,0.428571,0.987487,0.026631,0.1728,0.1517,0.3245,0.061,0.7889,1.8
dag_fr_tw3,7,ariel,cjt_l,1.78e-06,1.463e-05,0.0001233,9.48e-06,7.862e-05,0.00066258,0.7,1.000011,9.3e-05,0.0,1.9219,1.9219,0.3493,0.7889,
dag_fr_tw3,7,cjt,cjt_l,0.0,1e-08,4e-08,0.0,0.0,3e-08,1.0,1.0,0.0,0.006,0.3742,0.3801,0.021,0.7889,2.8
dag_fr_tw3,7,cve,cjt_l,0.00310835,0.01598396,0.08615927,0.00196878,0.0101508,0.05471243,0.607143,0.994922,0.018699,0.1292,282.3558,282.485,394.3968,0.7889,1.5
dag_fr_tw3,7,cve_cm,cjt_l,0.06765047,0.10904508,0.41066373,0.07775238,0.11452774,0.42554643,0.271429,0.850345,0.215727,0.1669,0.065,0.2319,0.0521,0.7889,1.8
dag_fr_tw3,7,cve_cp,cjt_l,0.16627774,0.1810881,0.54995621,0.16611695,0.16797795,0.51852632,0.185714,0.884348,1.089884,0.1639,0.0576,0.2215,0.0531,0.7889,1.8
dag_fr_tw3,7,ibp,cjt_l,0.00725016,0.02056833,0.08790315,0.0040967,0.01434127,0.08992248,0.442857,0.988331,0.026116,0.1615,0.0101,0.1716,0.0317,0.7889,1.8
dag_fr_tw3,8,approxlp,cjt_l,0.00148895,0.00610511,0.04692976,0.00350523,0.01652391,0.11188736,0.4625,0.994413,0.020342,0.2435,0.3286,0.5721,0.1178,1.101,2.2
