instance,algorithm,reference,mae_lb_error,max_lb_error,mae_ub_error,max_ub_error,containment_rate,mean_width_ratio,build_time,run_time,total_time,ref_time,avg_induced_width
alarm_consistent.lcn,approxlp,cjt,0.10075808,0.4264,0.01460362,0.053,0.8,1.365372,0.1043,0.5894,0.6937,0.5871,2.0
alarm_consistent.lcn,ariel,cjt,0.0,0.0,4e-08,4.4e-07,0.9,1.0,0.0,3.9218,3.9218,0.5871,
alarm_consistent.lcn,cjt_l,cjt,0.0,1e-08,0.0,0.0,0.9,1.0,0.0068,0.7121,0.7189,0.5871,3.0
alarm_consistent.lcn,cve_cm,cjt,0.08659688,0.40475872,0.06696058,0.23142048,0.5,0.85527,0.1037,0.1408,0.2445,0.5871,2.0
alarm_consistent.lcn,cve_cp,cjt,0.09199449,0.29322602,0.12778666,0.36669952,0.1,0.729337,0.1044,0.1431,0.2475,0.5871,2.0
alarm_consistent.lcn,ibp,cjt,0.10076814,0.4264,0.0148909,0.053,0.8,1.365075,0.1031,0.0272,0.1303,0.5871,2.0
asia_consistent.lcn,approxlp,cjt,0.00331153,0.0095864,0.0073118,0.0526653,0.625,0.958876,0.0816,0.2379,0.3195,0.4635,2.0
asia_consistent.lcn,ariel,cjt,5e-08,1.6e-07,2e-08,4e-08,0.375,0.999999,0.0,2.8567,2.8567,0.4635,
asia_consistent.lcn,cjt_l,cjt,1e-08,5e-08,0.0,0.0,0.75,1.0,0.0061,0.4398,0.4459,0.4635,3.0
asia_consistent.lcn,cve_cm,cjt,0.0323366,0.09125365,0.02913037,0.11205924,0.375,0.682578,0.0818,0.0828,0.1646,0.4635,2.0
asia_consistent.lcn,cve_cp,cjt,0.06247022,0.1715907,0.02075267,0.11468662,0.125,0.618547,0.0821,0.0923,0.1744,0.4635,2.0
asia_consistent.lcn,ibp,cjt,0.00352782,0.01131676,0.00626933,0.04432554,0.625,0.960969,0.0813,0.0137,0.095,0.4635,2.0
cancer_consistent.lcn,approxlp,cjt,0.06531045,0.12099999,0.02722886,0.07299999,0.6,1.736659,0.0585,0.0629,0.1214,0.7635,2.0
cancer_consistent.lcn,ariel,cjt,0.00131663,0.00658305,0.01390938,0.06954681,0.2,1.078034,0.0,2.1032,2.1032,0.7635,
cancer_consistent.lcn,cjt_l,cjt,3.5e-07,1.62e-06,1.5e-07,6.9e-07,0.0,0.999997,0.005,0.3683,0.3733,0.7635,3.0
cancer_consistent.lcn,cve,cjt,0.06531045,0.12099999,0.02722886,0.07299999,0.6,1.736659,0.0591,42.4584,42.5175,0.7635,2.0
cancer_consistent.lcn,cve_cm,cjt,0.04907993,0.11099999,0.02674693,0.05987214,0.2,1.427627,0.0589,0.0304,0.0893,0.7635,2.0
cancer_consistent.lcn,cve_cp,cjt,0.043865,0.07458498,0.04745408,0.0938506,0.4,1.395111,0.0591,0.0336,0.0927,0.7635,2.0
cancer_consistent.lcn,ibp,cjt,0.06394177,0.12099999,0.03920621,0.07299999,0.6,1.791029,0.0585,0.0071,0.0656,0.7635,2.0
credit_consistent.lcn,approxlp,cjt,0.25696014,0.7247597,1e-08,2e-08,0.090909,1.922043,0.1136,0.5757,0.6893,12.8461,3.0
credit_consistent.lcn,ariel,cjt,0.04955105,0.1397597,1e-08,2e-08,0.090909,1.177802,0.0,3.1831,3.1831,12.8461,
credit_consistent.lcn,cjt_l,cjt,2.3e-07,4.8e-07,1e-08,2e-08,0.0,0.999999,0.0064,1.147,1.1534,12.8461,4.0
credit_consistent.lcn,cve_cm,cjt,0.10793002,0.50226438,0.16499433,0.34348863,0.0,0.7806,0.1142,1.6177,1.7319,12.8461,3.0
credit_consistent.lcn,cve_cp,cjt,0.06937567,0.27626496,0.24318963,0.47052632,0.090909,0.393255,0.1141,1.0733,1.1874,12.8461,3.0
credit_consistent.lcn,ibp,cjt,0.25696014,0.7247597,1e-08,2e-08,0.090909,1.922043,0.1136,0.1275,0.2411,12.8461,3.0
earthquake_consistent.lcn,approxlp,cjt,0.00406161,0.00832299,1.3e-07,2.9e-07,0.0,1.123947,0.0494,0.0469,0.0963,1.394,2.0
earthquake_consistent.lcn,ariel,cjt,0.00016492,0.00082454,1.5e-07,3.8e-07,0.0,0.99175,0.0,1.8828,1.8828,1.394,
earthquake_consistent.lcn,cjt_l,cjt,2e-08,3e-08,1.3e-07,2.9e-07,0.0,0.999995,0.0055,0.5276,0.5331,1.394,3.0
earthquake_consistent.lcn,cve,cjt,0.00406161,0.00832299,1.3e-07,2.9e-07,0.0,1.123947,0.05,7.6306,7.6806,1.394,2.0
earthquake_consistent.lcn,cve_cm,cjt,0.00193246,0.00736449,0.00363589,0.01142473,0.0,1.001401,0.0498,0.0272,0.077,1.394,2.0
earthquake_consistent.lcn,cve_cp,cjt,0.02191299,0.05990745,0.00213212,0.00460327,0.0,0.636702,0.0501,0.0248,0.0749,1.394,2.0
earthquake_consistent.lcn,ibp,cjt,0.00406161,0.00832299,1.3e-07,2.9e-07,0.0,1.123947,0.0495,0.0067,0.0562,1.394,2.0
engine_consistent.lcn,approxlp,cjt,0.05911111,0.364,0.01044444,0.036,0.555556,1.173142,0.1048,0.4252,0.53,0.5288,2.0
engine_consistent.lcn,ariel,cjt,0.0,1e-08,0.0,0.0,0.888889,1.0,0.0,3.2544,3.2544,0.5288,
engine_consistent.lcn,cjt_l,cjt,0.0,0.0,0.0,0.0,1.0,1.0,0.0064,0.519,0.5254,0.5288,3.0
